pfplus BF,trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
9.900000000000001e-5,0.0,1.395204931303253e-29,0.0,0.0,0.0,4.0167869030938164e-13
2.2275e-9,0.0,1.9349668849722324e-24,5.448033246333702e-41,5.721437212633062e-57,5.915935995078961e-78,1.694453000133933e-8
3.2393065465968923e-11,0.0,2.0915345422871427e-22,3.5552768173103234e-39,3.745986811916128e-54,1.7267788037918585e-70,1.027598103830814e-5
4.0186596797994655e-12,0.0,1.2451389584898138e-20,4.415783278886147e-37,2.534342786367398e-53,2.539856605537247e-69,0.00015913118039415135
1.9118300910285675e-15,0.0,1.4364484809886772e-17,2.5747246019341185e-33,2.33233719088494e-49,6.748193191314269e-66,0.2726601696278258
1.900950756132503e-17,0.0,9.070552294457961e-15,4.413117444446344e-31,8.361989721888418e-48,2.766013953807507e-63,2.437879914442891
1.662018436932933e-21,0.0,2.421111248720295e-10,9.532018271219179e-27,6.123854633923842e-43,8.362489021449847e-59,1.3719656283576618
1.49581659323964e-26,0.0,5.8093030921595085e-5,2.183420740709715e-21,7.539128131271938e-38,7.099850996169618e-54,12.750636660316083
6.7796369462987505e-31,0.0,1.4422313640235571,3.1363903635003277e-16,1.7195542945730175e-32,3.3151514026300317e-49,NaN
7.627091564586094e-34,0.0,4.957455907954218,1.8244322264734533e-13,1.7344439346529747e-29,5.298490303372543e-46,1.2315943887916647
1.5285949365712675e-35,0.0,1.6899839526925442,4.75641673372086e-11,2.5733577639417183e-27,1.0807322801679722e-43,NaN
2.274306990164228e-36,0.0,3.931261508840517,1.07976638102582e-9,4.0492354793770563e-26,2.8176009376004383e-42,4.97990119890623
1.0377565892032206e-37,0.0,2.075137721508551,1.8658038828357927e-7,4.513410772512306e-24,1.7342678995152617e-40,1.8628154290682273
1.930216048146827e-41,0.0,3.029957143929515,0.0017226100561671598,3.8731409812973256e-20,2.1992632856534733e-36,2.6062873914136406
8.49295061184604e-46,0.0,2.623302881045596,6.063097102959499,6.611172056673826e-15,1.3109848224694378e-31,1.242771546682935
4.3148526783511516e-48,0.0,15.306389533290314,2.920383229157019,7.470361580252728e-13,7.081421489640391e-29,3.4221614098600597
4.632651898579612e-50,0.0,2.7288180790855248,2.287761163214636,6.396789805508257e-10,1.8426527586432173e-26,2.9753233862726063
4.1276928416344346e-55,0.0,7.551844875171849,17.028882005253493,9.187790265501069e-5,4.0990536999999994e-21,13.961904356893658
