pfplus BF,trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.009250050325539353,0.0,1.3596840975590923e-30,8.93926459080699e-47,9.850000179446904e-63,6.081985603586846e-79,8.562065049037371e-15
9.250050325539353e-5,0.0,7.991310937188641e-29,6.556588230753286e-45,2.1082955473678503e-61,9.362352840815364e-78,2.6558441172890273e-12
3.0500460012007085e-8,0.0,3.623246522452257e-25,1.624124250844186e-41,1.0438241414705066e-57,3.4920920364144657e-74,1.2048678891276336e-8
3.0195455411887015e-12,0.0,5.383236835015219e-21,2.9534874328714278e-37,1.7085561878454125e-53,5.131505672619711e-70,0.00013807912928361654
3.019545541188701e-18,0.0,2.158808695458156e-14,6.007396396504097e-31,4.514943462629365e-47,2.4386299105545517e-63,NaN
6.039091082377401e-24,0.0,2.0363809297537708e-8,1.3721364006153317e-24,2.854574066586032e-41,9.830952539338815e-58,2.0184517570375
2.777963539056714e-28,0.0,0.0015886870382245226,9.926394988988052e-20,3.31793688284385e-36,5.501421104307213e-53,NaN
7.845036145264538e-29,0.0,0.012758143121101366,2.085820451159234e-19,2.2493955250800123e-35,7.703604066114798e-52,2.964419521524202
2.8909504415932335e-29,0.0,0.27999703721692104,2.3564441523260276e-18,2.5182916732318715e-34,4.726763134911729e-51,5.523809089358166
1.0667607129479033e-32,0.0,2.0928570379028413,3.677827981861304e-14,2.1664638911168524e-30,4.550531278224192e-47,10.697094352225788
1.0667607129479034e-40,0.0,11.714284685321973,1.3951908966390216e-5,4.285059663311209e-22,2.3504150063632677e-38,NaN
1.0678168060537228e-42,0.0,1.4022788313364853,0.0021060174164852356,1.3236858956647036e-19,4.2982813954228164e-36,18.67865363721299
7.36028566311803e-46,0.0,5.286006228780077,2.7401728619519283,2.2892410769128337e-16,3.691563750935548e-32,1.6550689914370815
2.8688088013163827e-48,0.0,2.1235492453841176,1.6093905508667976,4.2009102637064894e-13,1.0246144170816127e-29,1.5143207474536091
1.161867564533135e-54,0.0,4.65737940232898,3.7503272785697135,1.6625779891788667e-6,1.8983880962989454e-22,1.9272530242109651
2.6142020201995535e-60,0.0,2.653184730957751,2.3917702926891304,0.7282310388361375,7.532108954200936e-17,1.2479578789174122
3.5514449240278164e-62,0.0,2.1257500059485315,57.663922955665626,1.423017225337574,1.4935402796628713e-14,8.619046887340069
1.4063721899150153e-66,0.0,1.3864707438105301,1.418531138130817,1.361660717644604,1.3297540981288219e-9,1.7070166422494326
