pfplus BF,trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.000315,0.0,3.0570316577575172e-30,1.900632682732228e-49,0.0,0.0,2.070565940925917e-13
3.1499999999999995e-10,0.0,5.9811927131544346e-24,2.6737319571103986e-40,6.07019376858403e-57,1.171355327025614e-75,8.273804230629622e-8
2.9925e-15,0.0,4.069120652187819e-18,1.4337489524158363e-34,7.077992453432397e-51,1.2310137125154212e-67,0.03670000000000018
9.811383779996789e-18,0.0,1.2120692201655016e-14,2.7976008102404177e-31,1.6780101761846327e-48,4.249151069032162e-65,1.0508255495197256
3.679268917498796e-22,0.0,3.2421859866648726e-10,2.7840740006739433e-27,8.321661975778598e-43,2.99107613726836e-59,NaN
7.496216077890397e-23,0.0,2.4402823276888843e-9,8.594671046455334e-26,7.64532532408567e-43,2.4429657992794888e-58,1.0145141285980326
7.421253917111494e-28,0.0,0.00020128207257322708,2.0275044660990282e-20,3.4165146492613934e-37,1.7870602842221555e-53,1.1763108000679392
3.3552551500065e-30,0.0,0.06158098591549291,4.745277564116163e-18,3.6717227480166692e-34,1.356421914219216e-50,1.11023564453125
3.50750612588841e-31,0.0,1.5276701083695117,1.2573191866685105e-16,5.8414109502677335e-33,5.3599070957961326e-49,2.583003629314725
2.442145835053916e-33,0.0,1.7489794207992264,5.391838820683654e-14,6.962082801397704e-30,9.994416364469873e-47,1.0911589555987196
7.301943271107097e-38,0.0,1.6972783574882833,6.530657048943296e-9,2.4932561336113373e-25,8.19459489065002e-42,1.062078836278766
2.628699577598555e-41,0.0,3.4074846862494774,3.642495795468763e-5,1.4273307661741355e-21,8.53740885033595e-38,1.1448506179837876
8.806017211230047e-46,0.0,1.2058,2.0562563106771647,2.9040878311375754e-16,2.3840492434568619e-32,1.0155450795439436
1.1888123235160564e-49,0.0,3.0294637837102085,1.0687989847715735,2.376805353065418e-12,1.1767370837759653e-28,2.7588929214608053
8.024483183733381e-54,0.0,1.1668194028905614,1.6599021739130435,1.7510338796902613e-7,2.091792500261308e-24,1.047978914725806
1.964534532539698e-54,0.0,1.1235418110865127,2.8763612850877402,2.548227205731093e-6,9.764927721933993e-23,1.4377480100246411
9.523841067914984e-57,0.0,7.611883358332115,10.569766292279374,0.0021095835550614516,5.873074185713828e-20,NaN
9.428602657235834e-61,0.0,5.075709623811905,1.5447236777081792,32.49512886518594,1.5903582442046051e-15,6.397813546269569
