pfplus BF,trick BF thread,trick MF2 thread,trick MF3 thread,trick MF4 thread,trick MF5 thread,trick thread
0.0013336010061740305,0.0,1.9287106825140398e-29,1.3774767347050055e-45,5.585708210599692e-62,3.724940189129136e-78,2.1332872326198964e-13
1.1068888351244456e-9,0.0,1.587734544082357e-23,2.421617610709937e-39,6.951019091977292e-56,8.950694274623279e-72,1.068354543094903e-7
4.980999758060005e-14,0.0,4.667031073558076e-19,6.033750401597439e-35,3.241244597651097e-51,2.5347742943741766e-67,0.00703292569444525
2.988596492661166e-19,0.0,2.3387974770003715e-13,1.2644362289264013e-29,6.729612816961387e-46,5.29981418235078e-62,5.391222263695246
3.974833335239352e-22,0.0,2.096286395804056e-10,1.5800748181475348e-26,8.441408915623291e-43,5.795096386862946e-59,3.9992875000000065
7.285590191160298e-26,0.0,1.3504099826097841e-6,1.162041291623812e-22,6.582761476047605e-39,4.071369613508968e-55,6.57985993303571
9.590423422749436e-28,0.0,0.0008788750817528602,2.537060972795194e-20,2.4057304914590516e-36,5.043791480882282e-53,3.3555253295383265
5.568241339555414e-29,0.0,0.013898511665325904,6.849653433877699e-19,2.6866642798184606e-35,1.3925786966141567e-51,3.3555253295383265
4.634602481639311e-32,0.0,1.3124554687500005,7.891443402226789e-15,1.3894707026119663e-31,1.0271229729392187e-47,NaN
9.273916340961861e-33,0.0,3.8921497933884335,3.230727718237761e-14,1.4521722198668959e-30,8.449494373443693e-47,92.11172968750012
2.67717307298202e-33,0.0,2.050360892857143,8.415052553251169e-13,1.8024153691307963e-29,7.46011482435869e-46,2.041518229166668
2.9753432239853947e-35,0.0,1.4499358750000007,1.191527798060849e-10,3.1953926528276e-27,1.9060768497666884e-43,11.655122328124989
5.078407595399246e-39,0.0,2.2024430065359493,2.207714874720335e-6,8.414257568254311e-23,3.22646993577384e-39,2.1157733299373906
1.70178772154268e-41,0.0,15.394877013845328,0.0026265540185771027,5.620594815681184e-20,1.7369550962315204e-36,1.6603328612703934
3.928119023461454e-44,0.0,9.221109932940028,1.038216487647377,1.1926051317803866e-16,3.922988157463434e-33,42.22169326692071
5.616693272889221e-47,0.0,4.182555232777968,1.2433014068526507,8.598984542688792e-14,4.1654044190779056e-30,2.1649440353007696
2.7633942069387134e-51,0.0,27.73961207914192,3.057385460140889,1.5591733098279816e-8,3.671116909199152e-25,3.995369100241538
1.34052252978597e-54,0.0,2.503332209112291,1.5585495305192263,3.1500853794755795e-5,1.3471829574796096e-21,2.233186016274135
